Timestamp,MQ7_CO_PPM,MQ7_Status,MQ135_CO2_PPM,MQ135_Status,Total_Pollution_PPM,Total_Pollution,Air_Quality_Status
2025-06-14 12:14:35,9.37,Sedang,300.0,Sehat,309.4,1.0,Sedang
2025-06-14 12:15:30,5.39,Sehat,1319.42,Sedang,1324.8,2.0,Sedang
2025-06-14 12:15:37,6.52,Sehat,514.97,Sehat,521.5,1.0,Baik
2025-06-14 12:15:43,3.82,Sehat,579.79,Sehat,583.6,1.0,Baik
2025-06-14 12:15:49,6.07,Sehat,559.21,Sehat,565.3,1.0,Baik
2025-06-14 12:16:03,4.3,Sehat,559.21,Sehat,563.5,1.0,Baik
2025-06-14 12:16:17,5.21,Sehat,790.65,Sehat,795.9,1.0,Baik
2025-06-14 12:17:26,5.9,Sehat,531.46,Sehat,537.4,1.0,Baik
2025-06-14 12:17:30,3.94,Sehat,642.54,Sehat,646.5,1.0,Baik
2025-06-14 12:17:36,7.14,Sehat,405.05,Sehat,412.2,1.0,Baik
2025-06-14 12:17:57,4.4,Sehat,530.93,Sehat,535.3,1.0,Baik
2025-06-14 12:18:48,8.56,Sehat,405.65,Sehat,414.2,1.0,Baik
2025-06-14 12:18:53,6.51,Sehat,518.47,Sehat,525.0,1.0,Baik
2025-06-14 12:19:05,8.87,Sehat,594.19,Sehat,603.1,1.0,Baik
2025-06-14 12:19:06,8.94,Sehat,756.23,Sehat,765.2,1.0,Baik
2025-06-14 12:19:26,9.87,Sedang,916.59,Sehat,926.5,1.0,Sedang
2025-06-14 12:19:54,11.65,Sedang,1038.16,Sedang,1049.8,2.0,Sedang
2025-06-14 12:20:27,11.14,Sedang,1258.94,Sedang,1270.1,2.0,Sedang
2025-06-14 12:20:42,10.66,Sedang,1520.61,Sedang,1531.3,2.0,Sedang
2025-06-14 12:20:53,9.25,Sedang,1554.32,Sedang,1563.6,2.0,Sedang
2025-06-14 12:21:24,7.61,Sehat,1554.08,Sedang,1561.7,2.0,Sedang
2025-06-14 12:21:33,6.41,Sehat,1138.67,Sedang,1145.1,2.0,Sedang
